
> hospital-dashboard@0.1.0 dev
> next dev --webpack

▲ Next.js 16.1.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://172.21.96.1:3000
- Environments: .env

✓ Starting...
✓ Ready in 2.6s
 GET /products 200 in 25ms (compile: 4ms, proxy.ts: 7ms, render: 14ms)
 GET /api/products 200 in 226ms (compile: 2ms, proxy.ts: 7ms, render: 217ms)
 GET /api/products 200 in 212ms (compile: 4ms, proxy.ts: 7ms, render: 201ms)
 GET /api/auth/csrf 200 in 29ms (compile: 14ms, proxy.ts: 5ms, render: 10ms)
 GET /api/auth/csrf 200 in 46ms (compile: 11ms, proxy.ts: 7ms, render: 28ms)
 POST /api/auth/signout 200 in 51ms (compile: 11ms, proxy.ts: 6ms, render: 34ms)
 GET /api/auth/csrf 200 in 49ms (compile: 11ms, proxy.ts: 5ms, render: 33ms)
 POST /api/auth/signout 200 in 36ms (compile: 18ms, proxy.ts: 10ms, render: 7ms)
 GET /login 200 in 161ms (compile: 25ms, proxy.ts: 14ms, render: 123ms)
 POST /api/auth/_log 200 in 35ms (compile: 10ms, proxy.ts: 7ms, render: 18ms)
 GET /api/auth/session 200 in 53ms (compile: 6ms, proxy.ts: 14ms, render: 33ms)
 GET /api/auth/providers 200 in 26ms (compile: 10ms, proxy.ts: 6ms, render: 10ms)
 GET /api/auth/csrf 200 in 42ms (compile: 5ms, proxy.ts: 8ms, render: 29ms)
 POST /api/auth/callback/credentials 401 in 73ms (compile: 5ms, proxy.ts: 6ms, render: 62ms)
 GET /api/auth/providers 200 in 48ms (compile: 12ms, proxy.ts: 6ms, render: 30ms)
 GET /api/auth/csrf 200 in 47ms (compile: 6ms, proxy.ts: 6ms, render: 35ms)
 POST /api/auth/callback/credentials 401 in 61ms (compile: 5ms, proxy.ts: 6ms, render: 50ms)
 GET /api/auth/providers 200 in 44ms (compile: 10ms, proxy.ts: 6ms, render: 27ms)
 GET /api/auth/csrf 200 in 28ms (compile: 6ms, proxy.ts: 6ms, render: 16ms)
 POST /api/auth/callback/credentials 200 in 82ms (compile: 14ms, proxy.ts: 7ms, render: 61ms)
 GET /api/auth/session 200 in 38ms (compile: 5ms, proxy.ts: 6ms, render: 27ms)
 GET /sales 200 in 1495ms (compile: 1317ms, proxy.ts: 6ms, render: 173ms)
 GET /api/sales 200 in 1172ms (compile: 1105ms, proxy.ts: 16ms, render: 51ms)
 GET /api/auth/session 200 in 1175ms (compile: 1116ms, proxy.ts: 12ms, render: 47ms)
 GET /api/sales 200 in 41ms (compile: 3ms, proxy.ts: 8ms, render: 30ms)
 GET /api/products 200 in 1368ms (compile: 1106ms, proxy.ts: 16ms, render: 246ms)
 GET /api/products 200 in 244ms (compile: 3ms, proxy.ts: 7ms, render: 234ms)
 GET /api/auth/csrf 200 in 33ms (compile: 12ms, proxy.ts: 7ms, render: 14ms)
 POST /api/auth/signout 200 in 34ms (compile: 5ms, proxy.ts: 7ms, render: 23ms)
 GET /login 200 in 169ms (compile: 43ms, proxy.ts: 8ms, render: 118ms)
 GET /api/auth/session 200 in 28ms (compile: 13ms, proxy.ts: 6ms, render: 10ms)
 GET /api/auth/providers 200 in 46ms (compile: 13ms, proxy.ts: 5ms, render: 28ms)
 GET /api/auth/csrf 200 in 42ms (compile: 6ms, proxy.ts: 5ms, render: 31ms)
 POST /api/auth/callback/credentials 200 in 68ms (compile: 6ms, proxy.ts: 6ms, render: 56ms)
 GET /api/auth/session 200 in 33ms (compile: 6ms, proxy.ts: 5ms, render: 22ms)
 GET / 200 in 796ms (compile: 655ms, proxy.ts: 7ms, render: 133ms)
 GET /api/products 200 in 417ms (compile: 90ms, proxy.ts: 12ms, render: 315ms)
 GET /api/branches 200 in 1454ms (compile: 1418ms, proxy.ts: 11ms, render: 26ms)
 GET /api/auth/session 200 in 1463ms (compile: 1426ms, proxy.ts: 10ms, render: 27ms)
 GET /api/dashboard 200 in 1470ms (compile: 1418ms, proxy.ts: 11ms, render: 40ms)
 GET /api/branches 200 in 15ms (compile: 3ms, proxy.ts: 8ms, render: 5ms)
 GET /api/auth/session 200 in 45ms (compile: 14ms, proxy.ts: 7ms, render: 24ms)
 GET / 200 in 57ms (compile: 29ms, proxy.ts: 7ms, render: 22ms)
 GET /products 200 in 35ms (compile: 13ms, proxy.ts: 6ms, render: 16ms)
 GET /api/products 200 in 238ms (compile: 6ms, proxy.ts: 7ms, render: 224ms)
 GET /api/products 200 in 212ms (compile: 2ms, proxy.ts: 6ms, render: 204ms)
 PATCH /api/products/3395 200 in 1120ms (compile: 1051ms, proxy.ts: 6ms, render: 63ms)
 GET /products 200 in 108ms (compile: 56ms, proxy.ts: 9ms, render: 43ms)
 GET /products 200 in 27ms (compile: 3ms, proxy.ts: 7ms, render: 17ms)
 GET /api/products 200 in 221ms (compile: 6ms, proxy.ts: 7ms, render: 207ms)
 GET /api/products 200 in 223ms (compile: 3ms, proxy.ts: 6ms, render: 214ms)
 GET /sales 200 in 43ms (compile: 15ms, proxy.ts: 9ms, render: 19ms)
 GET /api/products 200 in 339ms (compile: 6ms, proxy.ts: 7ms, render: 326ms)
 GET /api/sales 200 in 1417ms (compile: 1382ms, proxy.ts: 7ms, render: 28ms)
 GET /api/sales 200 in 30ms (compile: 3ms, proxy.ts: 15ms, render: 11ms)
 GET /api/products 200 in 343ms (compile: 7ms, proxy.ts: 131ms, render: 204ms)
 GET /api/auth/session 200 in 762ms (compile: 725ms, proxy.ts: 9ms, render: 27ms)
 GET /api/auth/session 200 in 60ms (compile: 30ms, proxy.ts: 14ms, render: 17ms)
